transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud
test-normal-033,162,18,Travel,0,0,48,2,31,0
test-normal-041,225,21,Grocery,0,0,51,0,65,0
test-fraud-001,39,11,Clothing,1,1,34,3,45,1
test-normal-024,122,4,Electronics,0,0,89,3,35,0
test-fraud-006,60,2,Grocery,1,0,25,2,45,1
test-normal-042,65,5,Grocery,0,0,78,1,21,0
test-fraud-017,38,0,Electronics,0,1,39,3,51,1
test-fraud-013,352,2,Food,1,0,31,2,37,1
test-normal-044,166,23,Grocery,0,1,94,0,35,0
test-normal-009,123,19,Grocery,0,0,56,2,28,0
test-normal-012,1,12,Electronics,0,1,64,3,62,0
test-fraud-010,340,1,Food,1,0,29,1,31,1
test-normal-020,67,6,Clothing,0,1,64,1,39,0
test-fraud-014,118,2,Grocery,1,0,60,5,57,1
test-normal-013,527,21,Electronics,0,0,44,2,45,0
test-normal-004,193,16,Food,0,0,92,1,27,0
test-fraud-004,437,3,Travel,1,0,30,3,53,1
test-fraud-018,28,1,Travel,1,1,52,4,27,1
test-normal-019,64,6,Electronics,0,0,60,1,65,0
test-fraud-009,231,3,Clothing,0,0,26,5,35,1
test-fraud-007,416,0,Travel,1,0,30,2,52,1
test-normal-007,192,12,Clothing,0,0,91,5,59,0
test-fraud-005,42,0,Grocery,1,0,32,1,62,1
test-normal-027,79,3,Food,0,1,42,2,33,0
test-normal-015,696,18,Food,0,0,28,2,39,0
test-fraud-020,395,1,Grocery,0,0,38,5,41,1
test-normal-035,191,7,Electronics,0,0,34,4,49,0
test-normal-038,19,6,Travel,1,0,78,0,21,0
test-normal-037,347,11,Electronics,1,0,74,5,59,0
test-normal-029,298,11,Clothing,0,1,35,1,63,0
test-normal-010,377,0,Grocery,0,0,41,3,53,0
test-normal-023,676,20,Clothing,0,0,79,3,57,0
test-normal-043,196,17,Electronics,0,0,39,4,33,0
test-fraud-016,140,3,Food,1,0,31,1,63,1
test-normal-006,13,7,Clothing,0,0,52,1,37,0
test-normal-005,210,21,Food,0,0,30,1,34,0
test-normal-003,82,1,Grocery,0,0,44,3,51,0
test-normal-026,85,5,Clothing,1,1,45,1,67,0
test-fraud-012,275,3,Clothing,1,0,31,2,69,1
test-normal-011,263,15,Electronics,0,0,37,0,23,0
test-normal-040,270,23,Food,0,0,96,5,48,0
test-normal-025,36,1,Travel,0,1,64,1,32,0
test-normal-016,176,7,Grocery,1,0,83,0,64,0
test-normal-008,163,0,Grocery,0,0,47,2,48,0
test-normal-022,20,19,Clothing,0,0,91,3,45,0
test-normal-028,222,0,Travel,0,0,33,2,60,0
test-fraud-002,226,2,Grocery,1,1,91,3,52,1
test-fraud-022,11,1,Grocery,0,1,25,4,32,1
test-fraud-003,19,1,Electronics,1,0,44,5,67,1
test-normal-032,85,15,Food,0,0,62,1,28,0
test-normal-018,111,0,Electronics,0,0,77,1,60,0
test-normal-014,157,13,Grocery,0,0,73,2,48,0
test-normal-031,2,7,Food,0,0,90,2,55,0
test-normal-002,16,19,Travel,0,0,36,0,53,0
test-normal-034,1,15,Grocery,0,0,68,2,27,0
test-fraud-011,7,2,Electronics,1,0,32,3,37,1
test-normal-001,224,20,Clothing,0,0,82,0,67,0
test-fraud-019,471,2,Food,0,1,27,3,63,1
test-normal-036,2,20,Food,0,0,65,2,63,0
test-normal-017,156,8,Electronics,0,0,82,0,53,0
test-fraud-021,408,1,Clothing,0,0,27,6,46,1
test-normal-039,35,15,Travel,0,0,39,2,32,0
test-fraud-008,950,1,Travel,0,1,70,2,60,1
test-normal-021,347,23,Grocery,0,0,61,2,52,0
test-fraud-015,12,1,Clothing,0,0,31,6,58,1
test-normal-030,1,19,Travel,0,0,69,3,45,0
